speaker_name,topics,entities,sentiment,summary,source_id,date,year,original_text,party,country,political_orientation
François-Xavier Bellamy,"[{'topic': 'debate', 'confidence': 0.9}, {'topic': 'liberty of expression', 'confidence': 0.9}]","[{'name': 'François-Xavier Bellamy', 'entity_type': 'person'}]",neutral,François-Xavier Bellamy suggests voting on the proposition of including liberty of expression in the debate on Wednesday.,62,2020-02-10,2020," – Notre proposition serait, si tous nos collègues l’acceptent, de voter plutôt sur cette proposition d’inclure la question de la liberté d’expression dans le débat qui aura lieu mercredi.",PPE,,right
Ernest Urtasun,"[{'topic': 'gender equality', 'confidence': 0.9}, {'topic': 'quota', 'confidence': 0.8}, {'topic': 'EU institutions', 'confidence': 0.7}, {'topic': 'pandemic', 'confidence': 0.6}, {'topic': 'debate', 'confidence': 0.5}]","[{'name': 'Manon Aubry', 'entity_type': 'person'}, {'name': 'Norway', 'entity_type': 'location'}, {'name': 'Germany', 'entity_type': 'location'}]",positive,"Ernest Urtasun urges the EU to unblock the directive on gender equality quotas, citing the success of countries like Norway.",63,2020-10-05,2020,"on behalf of the Verts/ALE Group. – Mr President, my colleague Manon Aubry just pointed out to me that in such an important debate for gender equality we have, like, 25 speakers, and only Mr Roth and I are men in that debate. I think this is really shameful and I would like to say that that we need women on board, but I think we need more men on board in those debates as well. Having said so, I think that we absolutely need to unblock that directive: it’s about time. We have had time since 2012 ",Greens/EFA,,left
Ádám Kósa,"[{'topic': 'coronavirus legislation', 'confidence': 0.9}, {'topic': 'democratic principles', 'confidence': 0.7}]","[{'name': 'Hungary', 'entity_type': 'location'}, {'name': ""European People's Party"", 'entity_type': 'organization'}, {'name': 'Ádám Kósa', 'entity_type': 'person'}]",neutral,Ádám Kósa discusses the Hungarian coronavirus legislation and its alignment with democratic principles.,64,2020-05-14,2020,"írásban. – Magyarként, európai néppárti, fideszes kollégáimmal közösen szeretném elősegíteni tájékozódásukat a koronavírus elleni védekezésről szóló magyarországi törvénnyel kapcsolatban. Írásbeli hozzászólásainkban a törvény teljes szövegét elérhetővé tesszük az Önök számára. Kérem, olvassák el, győződjenek meg arról, hogy a szövege mindenben megfelel a demokratikus alapelveknek. 3. § (1) Az Országgyűlés az Alaptörvény 53. cikk (3) bekezdése alapján felhatalmazza a Kormányt, hogy a veszélyhelyz",PPE,,right
Katarina Barley,"[{'topic': 'European Court of Justice', 'confidence': 0.8}, {'topic': 'Hungary', 'confidence': 0.9}, {'topic': 'European values', 'confidence': 0.7}, {'topic': 'democracy', 'confidence': 0.6}, {'topic': 'European Union', 'confidence': 0.5}]","[{'name': 'Kollegin Járóka', 'entity_type': 'person'}, {'name': 'Orbán', 'entity_type': 'person'}, {'name': 'Metsola', 'entity_type': 'person'}, {'name': 'European Court of Justice', 'entity_type': 'organization'}, {'name': 'Hungary', 'entity_type': 'location'}, {'name': 'European Union', 'entity_type': 'organization'}]",negative,The speaker criticizes Hungary's government for violating European values and calls for stronger measures to prevent regimes from buying support with EU funds.,65,2020-01-15,2020," – Herr Präsident! Erst gestern hat der Generalanwalt des Europäischen Gerichtshofes mal wieder die Verurteilung Ungarns beantragt, und das ist sicherlich ein neutrales Organ, wie vielleicht auch die Kollegin Járóka anerkennt. Dieses Mal, weil Orbáns Gesetz zur Gängelung von NGOs gegen die europäische Charta der Grundrechte verstößt. Es ist gut, dass wir in diesen Zeiten den Europäischen Gerichtshof haben, denn, seien wir ehrlich, das Artikel-7-Verfahren sowohl gegen Polen als auch gegen Ungarn ",S&D,,center
Virginie Joron,"[{'topic': 'COVID-19', 'confidence': 0.9}, {'topic': 'Strasbourg', 'confidence': 0.8}, {'topic': 'European Parliament', 'confidence': 0.7}, {'topic': 'Brussels', 'confidence': 0.6}, {'topic': 'EU treaties', 'confidence': 0.5}]","[{'name': 'Strasbourg', 'entity_type': 'location'}, {'name': 'Brussels', 'entity_type': 'location'}, {'name': 'European Parliament', 'entity_type': 'organization'}, {'name': 'COVID-19', 'entity_type': 'disease'}]",negative,"The speaker criticizes the decision to move the European Parliament's seat from Strasbourg to Brussels, citing the COVID-19 pandemic as an excuse.",66,2020-09-15,2020," – Madame la Présidente, les conséquences de la COVID, parlons-en. Protocole nº 6, article unique: «[l]e Parlement européen a son siège à Strasbourg». C’est ce qui est inscrit dans les traités européens. Pourtant, à la dernière minute, on a demandé aux députés de venir à Bruxelles alors qu’on y trouve deux fois plus de nouveaux cas de COVID-19. Pourtant, Strasbourg était prête. Pourtant, des mesures strictes ont été mises en place dans les taxis, hôtels, restaurants et rues piétonnes. Des travau",ID,,right
Paolo Borchia,"[{'topic': 'European Union politics', 'confidence': 0.9}, {'topic': 'Human rights', 'confidence': 0.8}, {'topic': 'European integration', 'confidence': 0.7}, {'topic': 'Immigration', 'confidence': 0.6}, {'topic': 'Terrorism', 'confidence': 0.5}]","[{'name': 'Franz Kafka', 'entity_type': 'person'}, {'name': 'Erdoğan', 'entity_type': 'person'}, {'name': 'Matteo Salvini', 'entity_type': 'person'}, {'name': 'Turchia', 'entity_type': 'location'}, {'name': 'Polonia', 'entity_type': 'location'}, {'name': 'Ungheria', 'entity_type': 'location'}, {'name': 'Ankara', 'entity_type': 'location'}, {'name': 'Vienna', 'entity_type': 'location'}, {'name': 'Nizza', 'entity_type': 'location'}, {'name': 'Italia', 'entity_type': 'location'}]",negative,"The speaker criticizes the EU's handling of a controversial regulation and its relations with Turkey, while also referencing recent terrorist attacks in Europe.",67,2020-11-25,2020," – Signora Presidente, onorevoli colleghi, io mi chiedo in quest'Aula quanti abbiano letto ""Il processo"" di Franz Kafka. Me lo chiedo perché ho l'impressione di assistere a un dibattito surreale, la cui sentenza è già stata emessa. È un ricatto politico, una storia già scritta, visto che era evidente a tutti che, approvando a maggioranza qualificata un regolamento controverso, le conseguenze sarebbero state il veto sul bilancio, che allungherebbe le già non brillanti tempistiche dal Recovery pla",ID,,right
Sven Simon,"[{'topic': 'procedure', 'confidence': 0.9}, {'topic': 'legends', 'confidence': 0.7}]","[{'name': 'Sven Simon', 'entity_type': 'person'}, {'name': 'PPE', 'entity_type': 'organization'}]",negative,"The speaker, Sven Simon, denies that two members of his faction were excluded from the formulation of a resolution, stating that they wished to withdraw and that no one was excluded.",68,2020-01-15,2020,"Frage nach dem Verfahren der „blauen Karte“. – Ich möchte einer Legendenbildung vorbeugen, die jetzt zwei Redner Ihrer Fraktion hier fälschlicherweise in den Raum gestellt haben: Sie behaupten, dass Sie ausgeschlossen worden seien von der Formulierung dieser Entschließung. Das stimmt nicht. Es war Ihr Wunsch, sich zurückzuziehen. Alle anderen haben das bedauert. Wir hätten gerne eine fraktionsübergreifende Entschließung verfasst – über alle Fraktionen hinweg. Sie haben sich zurückgezogen. Wir ha",PPE,,right
Hannah Neumann,"[{'topic': 'Arab Spring', 'confidence': 0.9}, {'topic': 'arms embargo', 'confidence': 0.8}, {'topic': 'human rights', 'confidence': 0.7}, {'topic': 'Middle East', 'confidence': 0.6}, {'topic': 'dictatorship', 'confidence': 0.5}]","[{'name': 'Mohamed Bouazizi', 'entity_type': 'person'}, {'name': 'Emmanuel Macron', 'entity_type': 'person'}, {'name': 'Egypt', 'entity_type': 'location'}, {'name': 'Mr. Berg', 'entity_type': 'person'}]",negative,The speaker criticizes President Macron for planning to supply arms to an Egyptian dictator and calls for a real arms embargo and the release of political prisoners.,69,2020-12-17,2020,"on behalf of the Verts/ALE Group. – Madam President, dear colleagues, today, exactly 10 years ago, Mohamed Bouazizi set himself on fire starting what has long been called the Arab Spring, but was actually smashed with violence in so many places including in Egypt. In Egypt that is today run by a dictator – Mr Berg – a dictator that brands human rights’ defenders as terrorists, who puts people in jail for years for having not more than Whatsapp on their phones. And this dictator was received by P",Greens/EFA,,left
Udo Bullmann,"[{'topic': 'partnership', 'confidence': 0.9}, {'topic': 'education', 'confidence': 0.7}, {'topic': 'development', 'confidence': 0.6}, {'topic': 'economy', 'confidence': 0.5}, {'topic': 'healthcare', 'confidence': 0.4}]","[{'name': 'Udo Bullmann', 'entity_type': 'person'}, {'name': 'Europa', 'entity_type': 'location'}, {'name': 'Afrika', 'entity_type': 'location'}]",positive,"The S&D group emphasizes the importance of a partnership between Europe and Africa, focusing on education, healthcare, and sustainable development.",70,2020-02-11,2020,"im Namen der S&D-Fraktion. – Frau Präsidentin! Frau Kommissarin, werte Kolleginnen und Kollegen! Wir sind froh, dass Sie genau an dieser Stelle stehen und ein großes Herz für diese neue Aufgabe mitbringen. Ja – Europa, Afrika, wir sind Partner. Und wir sind in einer Schicksalsgemeinschaft, und wir meistern unsere Probleme in den nächsten Jahren zusammen – oder wir werden beide scheitern. Deswegen ist die erste Konsequenz eine Partnerschaft auf Augenhöhe. Wenn wir das aber sagen, heißt das: keine",S&D,,center
Mazaly Aguilar,"[{'topic': 'agriculture', 'confidence': 0.9}, {'topic': 'environmental protection', 'confidence': 0.7}]","[{'name': 'ONG ecologistas', 'entity_type': 'organization'}]",negative,The speaker opposes the direction of the new PAC due to concerns about its potential impact on agriculture and the environment.,71,2020-10-20,2020," – Señor presidente, durante las últimas semanas he recibido muchos correos de ONG ecologistas pidiendo más apoyo y ambición para la arquitectura verde de la PAC.  Mi respuesta es y será siempre la misma: si la agricultura no es una actividad rentable y competitiva, la protección del medio ambiente será una utopía.  Hay que ser ambiciosos, pero también hay que ser muy responsables. Todos los que nos sentamos en este hemiciclo hemos de ser realistas y demostrar que tenemos sentido común.  Sincera",ECR,,right
Mick Wallace,"[{'topic': 'healthcare provision', 'confidence': 0.8}, {'topic': 'economic crisis', 'confidence': 0.9}, {'topic': 'European Commission', 'confidence': 0.7}, {'topic': 'Stability and Growth Pact', 'confidence': 0.8}, {'topic': 'COVID-19', 'confidence': 0.6}]","[{'name': 'Mick Wallace', 'entity_type': 'person'}, {'name': 'Ursula von der Leyen', 'entity_type': 'person'}, {'name': 'China', 'entity_type': 'location'}, {'name': 'Cuba', 'entity_type': 'location'}, {'name': 'Italy', 'entity_type': 'location'}, {'name': 'Iran', 'entity_type': 'location'}, {'name': 'Venezuela', 'entity_type': 'location'}, {'name': 'European Commission', 'entity_type': 'organization'}, {'name': 'Ireland', 'entity_type': 'location'}]",negative,"The speaker criticizes the European Commission's handling of the economic crisis and its impact on healthcare provision, calling for more solidarity and challenging the Stability and Growth Pact.",72,2020-03-26,2020," – Mr President, medical staff all across Europe have been the heroes of this crisis, but a report published last month found that the European Commission made at least 63 demands on Member States to cut spending on health-care provision from 2011 to 2018 to meet the arbitrary debt and deficit targets of the Stability and Growth Pact. These rules have hollowed out public services across Europe, including health services. The President said that the Stability and Growth Pact and state aid rules w",GUE/NGL,,left
Alice Kuhnke,"[{'topic': 'climate change', 'confidence': 0.9}, {'topic': 'gender equality', 'confidence': 0.8}, {'topic': 'EU strategy', 'confidence': 0.7}]","[{'name': 'Ursula von der Leyen', 'entity_type': 'person'}, {'name': 'Helena Dalli', 'entity_type': 'person'}]",positive,"The speaker, Alice Kuhnke, emphasizes the importance of gender equality in the EU's climate strategy and criticizes the lack of focus on this issue in the current EU plan.",73,2020-02-12,2020,för Verts/ALE-gruppen. – Fru talman! Det som måste vara med i EU:s nya strategi för jämställdhet är som vi hör en lång lista – allt ifrån en jämställdhetssäkrad budget till en feministisk utrikespolitik. Som grön politiker saknar jag emellertid den självklara fokusen på vår tids stora utmaning: klimatet. Alla vi är väl medvetna om att det är kvinnor som drabbas mest och värst av klimatförändringarna på grund av ekonomiska och sociala orättvisor. För att lyckas med Parisavtalet behövs därför en o,Greens/EFA,,left
Maximilian Krah,"[{'topic': 'Geldwäsche (Money Laundering)', 'confidence': 0.9}, {'topic': 'Regulierung (Regulation)', 'confidence': 0.7}]","[{'name': 'Deutsche Bank', 'entity_type': 'organization'}]",negative,The speaker warns against losing proportion in the fight against money laundering and criticizes the creation of new institutions and regulations.,74,2020-10-08,2020," – Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich höre sehr viel über neue Behörden, neue Regulierungen, neue Verbote, aber ich warne auch davor, in dem Kampf gegen das eine Ziel, nämlich die Geldwäsche, die Verhältnismäßigkeit zu verlieren. Die Deutsche Bank hat als Reaktion auf die FinCEN-Files nach eigenen Angaben eine Milliarde Euro in neue Compliance Institutionen investiert. Ich glaube nicht, dass die zum Wohlstand in Europa beitragen. Wer als mittelständischer Unternehmer heute ein",ID,,right
Zdzisław Krasnodębski,"[{'topic': 'federalizm', 'confidence': 0.9}, {'topic': 'integracja', 'confidence': 0.7}, {'topic': 'Europa', 'confidence': 0.6}, {'topic': 'historia', 'confidence': 0.5}, {'topic': 'Europa Środkowo-Wschodnia', 'confidence': 0.4}]","[{'name': 'Dzhambazki', 'entity_type': 'person'}]",negative,"The speaker criticizes the EU's integration process, warning that it may lead to negative consequences for Europe.",75,2020-11-24,2020," – Panie Przewodniczący! Zgodnie z Pana wezwaniem nie będę odczytywał swojej wypowiedzi. A teraz chciałem zwrócić się do kolegi, który polemizował z kolegą Dzhambazkim. Otóż to prawda, federalizm nie jest związany – ponieważ nie jest czymś, co zostało zrealizowane – z żadnymi procesami, które moglibyśmy krytykować. Ale jeżeli Pan przypomni sobie historię Europy, to wiemy, że były takie sytuacje, w których zjednoczenie Europy siłą, uniformizacja, zniesienie różnic kulturowych prowadziły do zbrodn",ECR,,right
Veronika Vrecionová,"[{'topic': 'budget', 'confidence': 0.9}, {'topic': 'EU reform', 'confidence': 0.7}]","[{'name': 'European Commission', 'entity_type': 'organization'}, {'name': 'European Parliament', 'entity_type': 'organization'}, {'name': 'Britain', 'entity_type': 'location'}]",negative,"The speaker opposes the European Parliament's version of the budget proposal, advocating for a return to the original Commission's version.",76,2020-02-12,2020," – Paní předsedající, já jsem poslankyně Evropského parlamentu z ČR, tedy ze země, která se řadí mezi tzv. přátele koheze. Přesto přese všechno je mi daleko bližší ten původní návrh Evropské komise než verze Evropského parlamentu. Důvod je jednoduchý, vyšší výdaje, se kterými právě Evropský parlament počítá, znamenají vyšší příjmy. Čistí plátci ale nechtějí zvyšovat své příspěvky do společného rozpočtu a navíc jedna z těch silných zemí, Británie, minulý týden odešla. Budou proto dále sílit snahy",ECR,,right
Isabel Wiseler-Lima,"[{'topic': 'importance of truth in a democratic society', 'confidence': 0.9}, {'topic': 'protection of journalists', 'confidence': 0.8}, {'topic': 'fight against corruption and authoritarian regimes', 'confidence': 0.7}, {'topic': 'journalist safety and freedom of expression', 'confidence': 0.6}, {'topic': ""European Union's role in protecting journalists"", 'confidence': 0.5}]","[{'name': 'Reporters sans frontières', 'entity_type': 'organization'}, {'name': 'Isabel Wiseler-Lima', 'entity_type': 'person'}, {'name': 'Magnitski Act', 'entity_type': 'other'}]",positive,"The speaker emphasizes the importance of protecting journalists and the truth in a democratic society, and calls for the European Union to take action to safeguard journalist safety and freedom of expression.",77,2020-11-24,2020,"au nom du groupe PPE. – Madame la Présidente, dans un monde où la vérité des faits semble perdre de son importance, il est impératif d’affirmer la nécessité de celle-ci. Protéger les journalistes, c’est affirmer cette nécessité, c’est protéger la vérité. Dans un monde où l’information et la désinformation circulent avec la même intensité, les journalistes d’investigation soutiennent la démocratie. Ils dénoncent corruptions et malversations et ils sont un soutien inestimable pour les peuples tenu",PPE,,right
Heléne Fritzon,"[{'topic': 'globalisering', 'confidence': 0.9}, {'topic': 'digitalisering', 'confidence': 0.8}, {'topic': 'klimat- och miljöomställning', 'confidence': 0.8}, {'topic': 'socialt Europa', 'confidence': 0.7}, {'topic': 'jämställdhetsstrategin', 'confidence': 0.7}]","[{'name': 'Kommissionen', 'entity_type': 'organization'}]",positive,"The speaker emphasizes the need for a stronger social Europe, highlighting opportunities in the Commission's program, but also expresses concerns about insecure employment and the need for stronger social dialogue.",78,2020-01-30,2020," – Fru talman! Europa ska möta framtiden, en framtid som handlar om globalisering, ökad digitalisering och inte minst klimat- och miljöomställningen. Vi har stora utmaningar, men vi har också möjligheter.  Kommissionens program pekar ut ett starkare socialt Europa. Det handlar om att höja ambitionen, att göra det i genomförandet av den sociala pelaren. Det handlar om jämställdhetsstrategin. Det handlar om att inrätta en barngaranti. Samtidigt finns det saker som jag saknar i initiativet. Vi behö",S&D,,center
Cindy Franssen,"[{'topic': 'digital divide', 'confidence': 0.9}, {'topic': 'digital skills', 'confidence': 0.8}, {'topic': 'job market', 'confidence': 0.7}]","[{'name': 'European Commissie', 'entity_type': 'organization'}, {'name': 'Europees Sociaal Fonds', 'entity_type': 'organization'}, {'name': 'Globaliseringsfonds', 'entity_type': 'organization'}]",positive,The speaker emphasizes the need for the EU to invest in digital skills and provide alternatives for those who lose their jobs due to digitalization.,79,2020-02-12,2020," – Voorzitter, de digitale kloof verschuift steeds meer van wie wel of geen internet heeft naar wie er wel of niet mee kan werken. De digitalisering werkt als een speedboot: e-learning, e-banking, e-commerce, e-government, ... als we niet achterom kijken, vallen er mensen uit de boot. Wie niet snel genoeg is, haalt hem niet in.  We denken vaak spontaan aan mensen met lage scholing of een gebrek aan financiële middelen die daardoor de digitale boot missen, en terecht: de digitale kloven zijn zeer",PPE,,right
Anja Hazekamp,"[{'topic': 'environmental protection', 'confidence': 0.9}, {'topic': 'chemical safety', 'confidence': 0.8}, {'topic': 'lab animal welfare', 'confidence': 0.6}]","[{'name': 'Anja Hazekamp', 'entity_type': 'person'}, {'name': 'European Parliament', 'entity_type': 'organization'}]",negative,The speaker criticizes the current state of chemical safety and environmental protection in the EU and urges the Commissioner to take action to achieve a toxic-free environment.,80,2020-07-09,2020,"on behalf of the GUE/NGL Group. – Madam President, I would say to the Commissioner that it is our right to have a non—toxic environment, but we are sadly miles away from that. Still, workers in the EU and the rest of the world are dying at an age much too young, only because of the dangerous chemicals they were exposed to simply by turning up at work. Still, pollinators, one of the most essential links in our ecosystem, are dying because of the dangerous pesticides we are spraying on our fields.",GUE/NGL,,left
Elena Lizzi,"[{'topic': 'coronavirus', 'confidence': 0.9}, {'topic': 'solidarity', 'confidence': 0.8}, {'topic': 'economy', 'confidence': 0.7}, {'topic': 'small and medium-sized enterprises', 'confidence': 0.6}]","[{'name': 'Ursula von der Leyen', 'entity_type': 'person'}, {'name': 'Elena Lizzi', 'entity_type': 'person'}, {'name': 'Friuli', 'entity_type': 'location'}]",negative,"The speaker, Elena Lizzi, criticizes the EU's response to the coronavirus pandemic, emphasizing the need for solidarity and economic support for small and medium-sized enterprises.",81,2020-03-10,2020," – Signora Presidente, onorevoli colleghi, signori Commissari, vi prego di dire alla Presidente von der Leyen che, dopo il coronavirus, nulla sarà come prima se l'Unione europea non darà risposte precise, puntuali, veloci, efficaci e solidali. Ho sentito diversi interventi e molti di questi sono anche condivisibili, ma mi preoccupano alcuni aspetti, in particolare quello della solidarietà e quello dell'economia. Io vengo da una terra che nel 1976 ha dovuto affrontare un evento tellurico che in s",ID,,right
Esteban González Pons,"[{'topic': 'Corona virus response', 'confidence': 0.9}, {'topic': 'European solidarity', 'confidence': 0.8}, {'topic': 'Economic impact', 'confidence': 0.7}, {'topic': 'Healthcare industry', 'confidence': 0.6}, {'topic': 'Industrial production', 'confidence': 0.5}]","[{'name': 'World Health Organization', 'entity_type': 'organization'}, {'name': 'European Commission', 'entity_type': 'organization'}, {'name': 'Europe', 'entity_type': 'location'}]",positive,"The speaker emphasizes the need for European solidarity and cooperation in responding to the Corona virus crisis, while criticizing the lack of unity among European leaders.",82,2020-03-26,2020,"on behalf of the PPE Group. – Mr President, we welcome your resolution to get things done, like the joint procurement of personal protective equipment. Those are positive steps. Now we need to go further. In the short term we need a lot more resources in health-care industry to fight against the Corona virus. We need to guarantee the free flow of goods and medicines across borders. We need to guarantee pensions and salaries. No one must be left behind. We need to secure the functioning of our cr",PPE,,right
Christel Schaldemose,"[{'topic': 'digital consumer protection', 'confidence': 0.9}, {'topic': 'green transition', 'confidence': 0.7}, {'topic': 'consumer rights', 'confidence': 0.8}]","[{'name': 'Reynders', 'entity_type': 'person'}, {'name': 'Amazon', 'entity_type': 'organization'}, {'name': 'Facebook', 'entity_type': 'organization'}]",positive,"Christel Schaldemose welcomes the Commission's proposal for a new consumer order, highlighting the need to update consumer protection rules in the digital age.",83,2020-11-23,2020,"for S&D-Gruppen. – Hr. formand! En stor tak til kommissær Reynders for en god præsentation. Men lad mig starte med at spole tiden mere end 14 år tilbage. Da var jeg nyvalgt medlem af Europa-Parlamentet. Amazon var kun i sin vorden, og Facebook var kun lige blevet oprettet. Når vi talte om forbrugerpolitik, handlede det om fysiske produkter, og hvordan vi gjorde dem mere sikre. Men siden da er der sket rigtig meget. I dag udkonkurrerer online markedspladser traditionelle fysiske butikker. Mere og",S&D,,center
Michael Gahler,"[{'topic': 'Iranian regime', 'confidence': 0.9}, {'topic': 'JCPOA', 'confidence': 0.8}, {'topic': 'Iranian internal affairs', 'confidence': 0.7}, {'topic': 'nuclear program', 'confidence': 0.6}, {'topic': 'regime change in Iran', 'confidence': 0.5}]","[{'name': 'Navid Afkari', 'entity_type': 'person'}, {'name': 'Nasrin Sotoudeh', 'entity_type': 'person'}, {'name': 'Biden', 'entity_type': 'person'}, {'name': 'Iran', 'entity_type': 'location'}, {'name': 'JCPOA', 'entity_type': 'organization'}]",positive,The speaker emphasizes the importance of maintaining the JCPOA to prevent Iran from acquiring a nuclear bomb and to give the Iranian people hope for a better future.,84,2020-10-07,2020," – Frau Präsidentin! Über den grundsätzlichen Charakter des iranischen Regimes sind wir uns ja sicher weitgehend einig, und alles, was hier an Kritik an den Zuständen im Innern des Landes aufgezählt wurde, ist verurteilenswürdig. Beispielhaft eben die Exekution von Navid Afkari, die Inhaftierung von Nasrin Sotoudeh oder auch die grundsätzliche Rechtlosstellung der Bahá’í als eine verfolgte Religionsgemeinschaft. Auch die Kritik am außenpolitischen Verhalten – alles, was hier aufgezählt wurde, is",PPE,,right
Angel Dzhambazki,"[{'topic': 'Libya', 'confidence': 0.9}, {'topic': 'Turkey', 'confidence': 0.8}, {'topic': 'Syria', 'confidence': 0.7}, {'topic': 'Islamic State', 'confidence': 0.6}, {'topic': 'Middle East conflict', 'confidence': 0.5}]","[{'name': 'Saarah', 'entity_type': 'person'}, {'name': 'Erdogan', 'entity_type': 'person'}, {'name': 'Libya', 'entity_type': 'location'}, {'name': 'Turkey', 'entity_type': 'location'}, {'name': 'Syria', 'entity_type': 'location'}, {'name': 'Islamic State', 'entity_type': 'organization'}]",negative,"The speaker criticizes the deal between Saarah and Erdogan, stating that it allows the Islamic State to establish a stronghold in Libya.",85,2020-01-14,2020,"от името на групата ECR. – Г-жо Председател, г-н Върховен представител, колеги, отново никой в залата не нарича нещата с истинските им имена. Няма начин представителите в тази зала, които се интересуват от темата „Либия“, да не знаят, че срамната сделка между т.нар. министър-председател Сараж и турския президент Ердоган включва не само преместването на турски войници в Либия, включва не само подялбата на териториалните води в Средиземно море в ущърб на Кипър, в ущърб на държавата Израел, ако иск",ECR,,right
Ska Keller,"[{'topic': 'European Union', 'confidence': 0.9}, {'topic': 'Corona crisis', 'confidence': 0.8}, {'topic': 'European integration', 'confidence': 0.7}, {'topic': 'Solidarity', 'confidence': 0.6}, {'topic': 'Economic recovery', 'confidence': 0.5}]","[{'name': 'Angela Merkel', 'entity_type': 'person'}, {'name': 'Germany', 'entity_type': 'location'}, {'name': 'European Parliament', 'entity_type': 'organization'}]",positive,"The speaker welcomes the German Chancellor Angela Merkel to the European Parliament and expresses support for the German-French proposal for a recovery fund, emphasizing the need for solidarity and cooperation in the face of the Corona crisis.",86,2020-07-08,2020,"on behalf of the Verts/ALE Group. – Mr President, Ms Merkel, I think I can tell you on behalf of the broad majority of this House: a warm welcome to the European Parliament. (Applause)  Es ist sicherlich ein Ort, wo man die Schwierigkeiten der Europäischen Union wahrnehmen kann, wo wir aber in einer sehr großen Mehrheit alle daran arbeiten, dieses Europa für die Bürgerinnen und Bürger besser zu machen – auch wenn wir uns manchmal darin unterscheiden, wie wir dahin kommen wollen und was das genau",Greens/EFA,,left
Ellie Chowns,"[{'topic': 'climate change', 'confidence': 0.9}, {'topic': 'Australia', 'confidence': 0.7}]","[{'name': 'Australia', 'entity_type': 'location'}, {'name': 'Ellie Chowns', 'entity_type': 'person'}]",negative,"The speaker calls for urgent climate action, citing the devastating effects of climate change and criticizing those who deny its link to disasters like the Australian fires.",87,2020-01-13,2020," – Madam President, it’s indeed somehow very fitting that this first debate in this Parliament in the new year 2020 is on climate change because this must be the year that the world, as a whole, finally bites the bullet on climate action. With current policies we are on track for over three degrees of warming, and the tragic fires in Australia offer a foretaste of the human and ecological disasters that result. As MEPs across the political spectrum have acknowledged, there’s overwhelming evidenc",Greens/EFA,,left
Sara Skyttedal,"[{'topic': 'EU success', 'confidence': 0.9}, {'topic': 'digitalization', 'confidence': 0.7}]","[{'name': 'Sara Skyttedal', 'entity_type': 'person'}, {'name': 'Sweden', 'entity_type': 'location'}, {'name': 'European Union', 'entity_type': 'organization'}]",positive,The speaker highlights the EU's role in promoting social welfare and competitiveness in the digital era.,88,2020-02-12,2020," – Madam President, the European Union is a social success and the single market is the main reason for this. Since my own country, Sweden, entered the Union 25 years ago, we have seen an exceptional increase in our GDP which has given us the opportunity to increase our welfare spending. Our real wages have almost doubled and social protection is at an all time high. The same pattern is also visible in newer Member States. So the EU has a role to play in terms of social welfare, partly through l",PPE,,right
Mislav Kolakušić,"[{'topic': 'Schengen Area', 'confidence': 0.9}, {'topic': 'EU Borders', 'confidence': 0.8}, {'topic': 'Covid-19 Pandemic', 'confidence': 0.7}, {'topic': 'European Union', 'confidence': 0.6}]","[{'name': 'Covida-19', 'entity_type': 'other'}, {'name': 'Schengen', 'entity_type': 'location'}, {'name': 'Rumunjska', 'entity_type': 'location'}, {'name': 'Bugarska', 'entity_type': 'location'}, {'name': 'Malta', 'entity_type': 'location'}, {'name': 'Hrvatska', 'entity_type': 'location'}]",negative,"The speaker calls for the four EU member states (Rumunjska, Bugarska, Malta, and Hrvatska) to join the Schengen Area and prevent the closure of borders, which would be a blow to the EU's principles of shared borders and unity.",89,2020-06-18,2020," – Poštovani predsjedavajući, poštovani kolege, ravnopravnost, višejezičnost i zajedničke granice su jedan od temelja Europske unije. Mi ne smijemo dopustiti da proglašena pandemija Covida-19 i dalje održava bizarnu situaciju u kojoj četiri države koje nisu članice Europske unije budu u schengenskom prostoru, dok četiri države: Rumunjska, Bugarska, Malta i Hrvatska, koje su zajedno već 50 godina u Europskoj uniji budu izvan tog prostora. Pozivam vas da učinimo svi sve što možemo da sve četiri dr",NI,,unknown
Angelika Niebler,"[{'topic': 'Corona and its consequences', 'confidence': 0.9}, {'topic': 'European budget and economic recovery', 'confidence': 0.7}]","[{'name': 'European Commission', 'entity_type': 'organization'}, {'name': 'European Parliament', 'entity_type': 'organization'}]",positive,"The speaker emphasizes the importance of prioritizing investments in research, digitalization, and innovation in the new EU budget, while ensuring transparency and democratic oversight in the use of funds for economic recovery.",90,2020-05-13,2020," – Herr Präsident, Herr Vizepräsident der Kommission, liebe Kolleginnen, liebe Kollegen! Corona und die Folgen von Corona sind eine historische Herausforderung, auf die auch der mehrjährige neue Haushalt und der Wiederaufbau ausgerichtet sein müssen.  Ich möchte dazu drei Anmerkungen machen. Zum Ersten: Wir dürfen aufgrund der Krise die Zukunft nach Corona nicht aus den Augen verlieren. Prioritäten wie Investitionen in die Forschung, in die Digitalisierung, in eine innovationsgestützte Umsetzung",PPE,,right
